id,年份,题号,题型,主考点,相关考点(背诵P/精讲P)
2017-42,2017,42,multi,数罪并罚,数罪并罚=67/232 | 立功=66/228 | 累犯=62/218 | 量刑=58/213 | 缓刑=70/236 | 假释=75/246 | 自首=62/221 | 刑罚=47/195
2017-43,2017,43,multi,单位犯罪,刑事责任=19/191 | 单位犯罪=22/72
2017-44,2017,44,multi,非法拘禁罪,拐骗儿童罪=133/401 | 非法拘禁罪=131/389 | 绑架罪=132/392
2017-45,2017,45,multi,诈骗罪,开设赌场罪=157/500 | 诈骗罪=141/444 | 盗窃罪=141/436
2018-1,2018,1,single,从旧兼从轻,从旧兼从轻=185/None | 溯及力=185/23
2018-2,2018,2,single,刑事责任,刑事责任=19/191 | 紧急避险=30/110 | 正当防卫=29/101 | 胁从犯=189/156 | 减刑=72/242 | 量刑=58/213 | 从犯=39/156
2018-3,2018,3,single,犯罪故意,犯罪故意=25/78
2018-4,2018,4,single,,
2018-5,2018,5,single,共同犯罪,共同犯罪=37/139 | 犯罪构成=13/33
2018-6,2018,6,single,敲诈勒索罪,敲诈勒索罪=143/451
2018-7,2018,7,single,管制,管制=51/199
2018-8,2018,8,single,诈骗罪,诈骗罪=141/444
2018-9,2018,9,single,贪污罪,职务侵占罪=143/457 | 贪污罪=172/546 | 受贿罪=174/554 | 侵占罪=142/455 | 无期徒刑=52/201 | 有期徒刑=52/201
2018-10,2018,10,single,行贿罪,行贿罪=176/564 | 犯罪构成=13/33 | 死刑=53/202
2018-11,2018,11,single,刑法,
2018-12,2018,12,single,单位犯罪,共同犯罪=37/139 | 单位犯罪=22/72 | 从犯=39/156 | 主犯=39/153
2018-13,2018,13,single,危险驾驶罪,危险驾驶罪=97/296 | 放火罪=93/276 | 虐待罪=135/405
2018-14,2018,14,single,盗窃罪,非法侵入计算机信息系统罪=153/482 | 故意毁坏财物罪=144/459 | 盗窃罪=141/436
2018-15,2018,15,single,玩忽职守罪,玩忽职守罪=180/571 | 洗钱罪=115/341 | 不作为犯罪=17/47
2018-16,2018,16,single,因果关系错误,因果关系错误=None/96 | 对象错误=29/94 | 因果关系=18/54
2018-17,2018,17,single,盗窃罪,侵占罪=142/455 | 抢劫罪=140/424 | 抢夺罪=142/434 | 盗窃罪=141/436
2018-18,2018,18,single,没收财产,没收财产=55/206 | 附加刑=50/204 | 罚金=54/204
2018-19,2018,19,single,破坏交通工具罪,以危险方法危害公共安全罪=94/282 | 破坏交通工具罪=94/284
2018-20,2018,20,single,寻衅滋事罪,寻衅滋事罪=None/None
2018-41,2018,41,multi,罪责刑相适应原则,罪责刑相适应原则=8/18 | 罪刑法定原则=7/16 | 从旧兼从轻=185/None | 缓刑=70/236
2018-42,2018,42,multi,,
2018-43,2018,43,multi,强迫交易罪,非法经营罪=123/364 | 强迫交易罪=123/366
2018-44,2018,44,multi,管制,管制=51/199
2018-45,2018,45,multi,,
2019-1,2019,1,single,挪用公款罪,挪用公款罪=173/551 | 玩忽职守罪=180/571 | 无期徒刑=52/201 | 危害结果=17/51 | 有期徒刑=52/201 | 追诉时效=80/255 | 死刑=53/202
2019-2,2019,2,single,破坏选举罪,破坏选举罪=137/414 | 犯罪主体=20/65
2019-3,2019,3,single,过于自信的过失,过于自信的过失=27/88 | 疏忽大意的过失=27/87 | 直接故意=25/80 | 危害结果=17/51 | 间接故意=25/81
2019-4,2019,4,single,洗钱罪,洗钱罪=115/341
2019-5,2019,5,single,贪污罪,贪污罪=172/546 | 诈骗罪=141/444 | 侵占罪=142/455 | 抢夺罪=142/434 | 盗窃罪=141/436 | 犯罪构成=13/33
